iter	RMSE
0	13.59537419
1	13.1414353
2	12.7126584
3	12.30412683
4	11.96788807
5	11.7051611
6	11.50657996
7	11.25598397
8	11.08428995
9	10.8739357
10	10.66374402
11	10.5106049
12	10.36649359
13	10.19150367
14	10.06797003
15	10.00177147
16	9.877581575
17	9.801454025
18	9.68076708
19	9.616919928
20	9.509298748
21	9.4068047
22	9.346021593
23	9.237947304
24	9.183792649
25	9.098402546
26	9.053894526
27	8.99433993
28	8.931946309
29	8.899395061
30	8.848533796
31	8.799361548
32	8.778012433
33	8.762288157
34	8.717095522
35	8.681289795
36	8.616959005
37	8.595253977
38	8.579322304
39	8.529463371
40	8.477794786
41	8.444376011
42	8.389949863
43	8.322726906
44	8.287258658
45	8.259910668
46	8.227211432
47	8.16597408
48	8.122282109
49	8.088254043
50	8.057098645
51	8.014772643
52	7.98023993
53	7.938699757
54	7.887006759
55	7.879781166
56	7.866296168
57	7.840550117
58	7.824705153
59	7.781891231
60	7.748252388
61	7.718553435
62	7.683029249
63	7.639415407
64	7.54737124
65	7.516042056
66	7.498396922
67	7.461036444
68	7.407226223
69	7.402234857
70	7.361017597
71	7.329753709
72	7.29239493
73	7.27724853
74	7.263008016
75	7.204382446
76	7.183647507
77	7.147702963
78	7.114186662
79	7.108602479
80	7.093697284
81	7.068717951
82	7.039290772
83	7.001074709
84	6.992285513
85	6.967236041
86	6.95353047
87	6.926478673
88	6.885359121
89	6.875299503
90	6.855395381
91	6.819216353
92	6.761879739
93	6.739259621
94	6.727708518
95	6.721522232
96	6.671537571
97	6.667274172
98	6.612141153
99	6.565929073
100	6.524733887
101	6.48622469
102	6.464613333
103	6.41615317
104	6.388508281
105	6.379408732
106	6.351369285
107	6.33001105
108	6.289766845
109	6.254807352
110	6.245630802
111	6.209276407
112	6.178895133
113	6.140509058
114	6.124278215
115	6.065442343
116	6.035096327
117	6.026600304
118	6.014232074
119	5.985863715
120	5.953392588
121	5.916386012
122	5.90899161
123	5.880695865
124	5.848299207
125	5.828085957
126	5.797995026
127	5.767825487
128	5.761520414
129	5.749727217
130	5.726022608
131	5.697456041
132	5.671086671
133	5.644649285
134	5.625357749
135	5.597375306
136	5.580435326
137	5.56174882
138	5.544377956
139	5.498591725
140	5.481268129
141	5.439410363
142	5.41968786
143	5.398091505
144	5.378935737
145	5.36763088
146	5.348306183
147	5.337938729
148	5.329434243
149	5.322784734
150	5.303852469
151	5.289594194
152	5.280442941
153	5.26965738
154	5.247595071
155	5.221320545
156	5.196182722
157	5.168004759
158	5.150060437
159	5.128332883
160	5.124996633
161	5.102196495
162	5.087570206
163	5.071103206
164	5.053973578
165	5.033183991
166	5.024917676
167	5.017069167
168	4.997210527
169	4.989033913
170	4.967245822
171	4.941819926
172	4.938473778
173	4.925036926
174	4.912599809
175	4.882857998
176	4.875247601
177	4.85444663
178	4.84101543
179	4.824587659
180	4.812318439
181	4.802872819
182	4.783043307
183	4.766709672
184	4.731121329
185	4.718847828
186	4.690573186
187	4.665021241
188	4.649371721
189	4.629094031
190	4.628224641
191	4.622754289
192	4.607252794
193	4.602179966
194	4.576242198
195	4.57129308
196	4.566907771
197	4.541310044
198	4.527115471
199	4.518664109
200	4.503007598
201	4.486579231
202	4.473085756
203	4.458743631
204	4.441150469
205	4.4166433
206	4.403454082
207	4.391196999
208	4.38221893
209	4.366594915
210	4.356712706
211	4.353225456
212	4.338163346
213	4.329760539
214	4.303496638
215	4.295570384
216	4.280492183
217	4.279209144
218	4.260294973
219	4.248598185
220	4.216993501
221	4.208424677
222	4.20333515
223	4.194966095
224	4.184862992
225	4.16980798
226	4.148527398
227	4.133072339
228	4.125583976
229	4.122301412
230	4.103269532
231	4.085787279
232	4.071869236
233	4.050352502
234	4.038843136
235	4.035493103
236	4.024791477
237	4.016078934
238	4.011862839
239	4.000444186
240	3.984202345
241	3.974307202
242	3.964980443
243	3.953961293
244	3.945137603
245	3.933303454
246	3.930085724
247	3.922435997
248	3.921814339
249	3.911128429
250	3.89379092
251	3.881946206
252	3.874664374
253	3.873161625
254	3.859732821
255	3.854440585
256	3.849861349
257	3.834519255
258	3.820204267
259	3.811105895
260	3.796776848
261	3.78417965
