iter	Passed	Remaining
0	165	165613
1	168	84174
2	171	57084
3	174	43422
4	177	35228
5	179	29741
6	182	25863
7	184	22933
8	188	20708
9	190	18893
10	193	17396
11	195	16131
12	198	15060
13	200	14139
14	203	13353
15	205	12659
16	208	12041
17	210	11508
18	213	11029
19	216	10599
20	219	10229
21	222	9879
22	225	9557
23	227	9259
24	230	8982
25	233	8743
26	236	8523
27	239	8308
28	241	8098
29	244	7896
30	246	7710
31	249	7539
32	251	7383
33	254	7231
34	256	7070
35	259	6939
36	261	6804
37	263	6676
38	266	6565
39	268	6452
40	271	6344
41	273	6244
42	276	6145
43	278	6049
44	281	5965
45	283	5880
46	285	5799
47	288	5717
48	290	5639
49	293	5567
50	295	5501
51	297	5426
52	300	5360
53	302	5296
54	304	5237
55	307	5177
56	309	5120
57	312	5072
58	314	5020
59	317	4968
60	319	4917
61	321	4868
62	324	4821
63	326	4779
64	329	4738
65	331	4695
66	334	4652
67	336	4611
68	338	4572
69	341	4535
70	344	4502
71	346	4468
72	349	4435
73	352	4406
74	354	4371
75	356	4339
76	359	4308
77	361	4278
78	364	4247
79	366	4216
80	369	4187
81	371	4157
82	373	4130
83	376	4105
84	378	4079
85	381	4050
86	383	4022
87	385	3997
88	387	3971
89	390	3951
90	393	3927
91	395	3903
92	397	3879
93	400	3857
94	402	3833
95	404	3811
96	407	3790
97	409	3769
98	411	3748
99	414	3728
100	416	3708
101	419	3689
102	421	3671
103	424	3655
104	426	3635
105	428	3616
106	431	3597
107	433	3580
108	436	3567
109	439	3557
110	442	3543
111	444	3526
112	447	3509
113	449	3495
114	452	3484
115	455	3470
116	457	3455
117	460	3440
118	462	3427
119	465	3414
120	467	3399
121	470	3386
122	473	3372
123	475	3357
124	477	3343
125	479	3328
126	482	3314
127	484	3300
128	487	3289
129	489	3275
130	491	3263
131	494	3249
132	496	3236
133	498	3223
134	501	3212
135	503	3200
136	506	3189
137	508	3177
138	510	3163
139	512	3151
140	515	3138
141	517	3128
142	520	3117
143	522	3106
144	524	3094
145	527	3083
146	529	3071
147	531	3060
148	534	3050
149	536	3039
